Year_WW,Demand,Weekly_1wk,Quarterly_13wk,BiAnnual_26wk,Annual_52wk,Total_Supply,Surplus
203032,29,14,0,0,15,29,0
203033,26,11,0,0,15,26,0
203034,19,4,0,0,15,19,0
203035,0,0,0,0,15,15,15
203036,23,8,0,0,15,23,0
203037,27,12,0,0,15,27,0
203038,17,2,0,0,15,17,0
203039,23,8,0,0,15,23,0
203040,29,14,0,0,15,29,0
203041,16,1,0,0,15,16,0
203042,28,18,0,0,10,28,0
203043,25,15,0,0,10,25,0
203044,19,14,0,0,5,19,0
